Player,Nation,Pos,Age,Minutes Played divided by 90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Nico O’Reilly,ENG,FW,19,4.6,0,0,0,3,4,0,4,2,10,0,0,0,3,0,0,
Omar Marmoush,EGY,FW,26,3.5,0,0,0,2,8,3,16,2,3,0,0,0,9,0,1,0
Jahmai Simpson-Pusey,ENG,DF,19,3.5,1,0,0,0,2,0,1,2,1,0,0,0,9,4,4,50
Abdukodir Khusanov,UZB,DF,20,2.1,1,0,0,4,1,0,0,1,1,0,0,0,7,2,1,66.7
Rodri,ESP,MF,28,1.7,0,0,0,4,3,0,1,1,2,0,0,0,16,1,0,100
Divin Mubama,ENG,FW,20,1.3,0,0,0,1,2,4,0,0,0,0,0,0,1,0,1,0
Nicolás González,ESP,MF,23,1.2,0,0,0,1,1,0,0,1,0,0,0,0,4,0,1,0
Oscar Bobb,NOR,FW,21,1,0,0,0,0,0,0,4,0,0,,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,0,0,0,0,1,0,0,1,2,,,0,,,,
Jacob Wright,ENG,MF,19,0.5,0,0,0,0,0,0,5,0,0,,,0,,,,
Vitor Reis,BRA,DF,19,0.5,0,0,0,1,1,0,0,0,1,,,0,,,,
Erling Haaland,NOR,FW,24,34.1,2,0,0,27,16,4,4,8,8,1,0,0,32,54,43,55.7
Joško Gvardiol,CRO,DF,23,33.1,1,0,0,19,21,2,25,37,35,0,1,0,140,46,35,56.8
Bernardo Silva,POR,"MF,FW",30,30,7,0,0,24,25,4,69,19,27,0,0,0,86,3,7,30
Rico Lewis,ENG,"DF,MF",20,27.7,5,1,1,14,40,2,5,18,29,0,0,0,114,7,14,33.3
Manuel Akanji,SUI,DF,29,27.6,3,0,0,22,11,0,11,11,14,0,0,0,121,28,33,45.9
Phil Foden,ENG,"MF,FW",24,25,2,0,0,6,33,3,110,9,6,1,0,0,75,5,11,31.3
Ederson,BRA,GK,31,25,3,0,0,1,0,0,0,1,0,0,1,0,33,3,1,75
İlkay Gündoğan,GER,MF,34,23.4,1,0,0,13,21,1,61,16,13,0,0,0,94,12,8,60
Sávio,BRA,"FW,MF",20,22.5,3,0,0,19,28,3,111,7,16,2,0,0,78,1,4,20
Mateo Kovačić,CRO,MF,30,22.2,6,0,0,21,22,0,0,20,31,0,0,0,90,8,5,61.5
Matheus Nunes,POR,"MF,DF",26,19.1,4,0,0,29,24,7,53,17,32,1,2,0,67,13,13,50
Rúben Dias,POR,DF,27,19.1,5,0,0,13,5,0,2,17,8,0,0,1,47,26,18,59.1
Kevin De Bruyne,BEL,MF,33,15.9,2,0,0,15,12,4,123,5,9,0,0,0,56,3,11,21.4
Stefan Ortega,GER,GK,32,14,1,0,0,1,1,0,0,0,0,0,1,1,8,0,0,
Jack Grealish,ENG,"FW,MF",29,13.7,4,0,0,9,40,1,29,3,7,0,0,0,29,3,7,30
Jeremy Doku,BEL,FW,22,13.1,0,0,0,6,24,6,48,2,18,0,0,0,41,0,7,0
Kyle Walker,ENG,DF,34,12.9,3,0,0,7,5,1,16,3,11,0,0,0,48,10,7,58.8
John Stones,ENG,"DF,MF",30,12.5,2,0,0,5,4,0,1,5,6,0,0,0,42,16,8,66.7
Nathan Aké,NED,DF,29,10.2,0,0,0,7,1,0,3,4,8,0,0,0,29,16,15,51.6
James Mcatee,ENG,"MF,FW",22,6.9,2,0,0,9,5,0,7,2,11,0,0,0,6,1,2,33.3
