Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,Minutes Played divided by 90,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
Nico O’Reilly,ENG,FW,19,8,418,52,11.8,4.6,5,77,2,3,11,24,2.38,13,3,10,2.15,1.61,1,0,1,2.6,2.12
Omar Marmoush,EGY,FW,26,5,316,63,9.8,3.5,4,77,1,1,7,0,1.8,8,7,1,0.28,-0.58,4.1,4.2,-0.1,-0.05,-0.59
Jahmai Simpson-Pusey,ENG,DF,19,6,315,53,9.2,3.5,3,90,3,3,15,9,0.83,10,9,1,0.29,-0.53,4.6,7.2,-2.6,-1.13,-1.75
Abdukodir Khusanov,UZB,DF,20,3,188,63,5.8,2.1,2,72,1,1,45,2,3,7,1,6,2.87,2.07,3.7,2.2,1.5,0.95,0.53
Rodri,ESP,MF,28,3,155,52,5.1,1.7,2,55,1,1,45,1,1.67,1,0,1,0.58,-0.01,4.5,0.8,3.7,2.15,1.75
Divin Mubama,ENG,FW,20,2,118,59,4.9,1.3,1,90,1,1,28,5,3,9,0,9,6.86,6.2,0.6,0,0.6,1.97,1.53
Nicolás González,ESP,MF,23,2,111,56,3.4,1.2,2,56,1,0,,1,3,4,1,3,2.43,1.54,1.9,0.5,1.4,1.38,0.97
Oscar Bobb,NOR,FW,21,1,89,89,74.2,1,1,89,0,0,,0,1,1,1,0,0,0,,,,,
Kaden Braithwaite,ENG,DF,17,1,75,75,41.7,0.8,1,75,0,0,,0,3,2,0,2,2.4,4.11,,,,,
Jacob Wright,ENG,MF,19,2,46,23,1.4,0.5,0,,0,2,23,10,1.5,0,1,-1,-1.96,-2.63,,,,,
Vitor Reis,BRA,DF,19,1,45,45,1.9,0.5,1,45,0,0,,3,3,0,1,-1,-2,-8.67,,,,,
Max Hudson,WAL,GK,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Issa Kaboré,BRFA,"DF,MF",23,0,,,,,0,,0,0,,2,,,,,,,,,,,
Max Alleyne,ENG,DF,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
Thorsten Brits,ENG,GK,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Kalvin Phillips,ENG,"DF,MF",29,0,,,,,0,,0,0,,1,,,,,,,,,,,
Scott Carson,ENG,GK,39,0,,,,,0,,0,0,,22,,,,,,,,,,,
Farid Alfa-Ruprecht,GER,FW,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Josh Wilson-Esbrand,ENG,DF,22,0,,,,,0,,0,0,,5,,,,,,,,,,,
Erling Haaland,NOR,FW,24,35,"3,069",88,86.7,34.1,35,88,29,0,,2,1.6,70,53,17,0.5,-1.93,63.4,48.8,14.6,0.44,
Joško Gvardiol,ERO,DF,23,36,"2,981",83,84.2,33.1,32,89,28,4,31,2,1.64,67,51,16,0.48,-0.47,61.6,44.2,17.4,0.55,
Bernardo Silva,POR,"MF,FW",30,34,"2,702",79,76.3,30,29,87,26,5,34,5,1.47,57,51,6,0.2,-2.27,51.6,44.6,7,0.24,
Rico Lewis,ENG,"DF,MF",20,33,"2,492",76,70.4,27.7,27,87,21,6,26,5,1.73,56,41,15,0.54,-0.66,46.3,33.5,12.8,0.54,
Manuel Akanji,SUI,DF,29,30,"2,486",83,70.2,27.6,29,84,24,1,45,5,1.73,64,40,24,0.87,0.35,53.9,37.4,16.6,0.63,
Phil Foden,ENG,"MF,FW",24,32,"2,252",70,65.8,25,24,82,14,8,35,2,1.6,57,37,20,0.8,0.11,44.7,35.8,8.9,0.39,
Ederson,BRA,GK,31,25,"2,250",90,63.6,25,25,90,25,0,,8,1.64,56,38,18,0.72,-0.17,45.3,34.4,10.9,0.48,
İlkay Gündoğan,GER,MF,34,34,"2,102",62,61.5,23.4,24,80,12,10,19,3,1.62,56,34,22,0.94,0.46,38.6,30.9,7.7,0.37,
Sávio,BRA,"FW,MF",20,33,"2,025",61,57.2,22.5,24,75,9,9,25,5,1.58,50,30,20,0.89,0.35,41.3,22,19.3,1,
Mateo Kovačić,CRO,MF,30,29,"1,995",69,56.4,22.2,22,81,12,7,30,4,1.72,47,34,13,0.59,-0.35,39.7,31,8.8,0.43,
Matheus Nunes,POR,"MF,DF",26,28,"1,723",62,48.7,19.1,19,86,16,9,11,8,1.75,50,31,19,0.99,0.5,32.6,24.8,7.7,0.49,
Rúben Dias,POR,DF,27,23,"1,720",75,48.6,19.1,20,83,17,3,18,2,1.78,36,23,13,0.68,-0.11,32.1,21.9,10.1,0.59,
Kevin De Bruyne,BEL,MF,33,26,"1,428",55,42.5,15.9,16,78,6,10,18,4,1.5,39,22,17,1.07,0.51,30,22,8,0.51,
Stefan Ortega,GER,GK,32,14,"1,260",90,35.6,14,14,90,14,0,,25,1.71,30,19,11,0.79,0.04,20.5,14.5,5.9,0.54,
Jack Grealish,ENG,"FW,MF",29,24,"1,231",51,36,13.7,13,80,6,11,17,6,1.71,33,20,13,0.95,0.29,20.2,16.9,3.3,0.31,
Jeremy Doku,BEL,FW,22,23,"1,177",51,33.2,13.1,14,74,3,9,15,5,1.7,36,11,25,1.91,1.76,25,9.8,15.2,1.37,
Kyle Walker,ENG,DF,34,18,"1,163",65,35.9,12.9,11,89,10,7,27,5,1.5,15,24,-9,-0.7,-1.95,17,20.4,-3.4,-0.29,
John Stones,ENG,"DF,MF",30,19,"1,129",59,33,12.5,12,81,8,7,23,5,1.95,32,20,12,0.96,0.29,19.1,11.1,8.1,0.81,
Nathan Aké,NED,DF,29,15,922,61,26,10.2,12,70,2,3,26,7,1.47,23,12,11,1.07,0.45,16.6,15,1.6,0.18,
James Mcatee,ENG,"MF,FW",22,17,620,36,17.5,6.9,5,84,3,12,17,22,2.12,17,12,5,0.73,-0.01,3.9,4.1,-0.3,-0.12,
