Player,Nation,Pos,Age,Minutes Played divided by 90,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries,Total passing distance,PrgDist,PrgC,Passes into Final third,CPA,Mis,Dis,Rec,PrgR
Nico O’Reilly,ENG,FW,19,4.6,25,1,3,17,6,0,25,2,1,50,1,50,17,113,33,1,1,0,1,0,17,1
Omar Marmoush,EGY,FW,26,3.5,101,1,7,36,60,8,101,5,0,0,5,100,63,400,203,6,5,2,9,4,73,15
Jahmai Simpson-Pusey,ENG,DF,19,3.5,202,15,82,114,7,1,202,1,0,0,0,0,123,657,342,1,1,0,1,0,156,0
Abdukodir Khusanov,UZB,DF,20,2.1,127,16,69,58,2,1,127,1,0,0,1,100,82,389,147,0,0,0,2,0,103,0
Rodri,ESP,MF,28,1.7,161,4,22,82,58,1,161,1,0,0,0,0,101,386,166,2,2,0,0,1,128,2
Divin Mubama,ENG,FW,20,1.3,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0
Nicolás González,ESP,MF,23,1.2,112,2,20,74,19,0,112,0,0,,0,,66,233,89,1,2,0,3,0,93,3
Oscar Bobb,NOR,FW,21,1,,,,,,,,,,,,,,,,,,,,,,
Kaden Braithwaite,ENG,DF,17,0.8,,,,,,,,,,,,,,,,,,,,,,
Jacob Wright,ENG,MF,19,0.5,,,,,,,,,,,,,,,,,,,,,,
Vitor Reis,BRA,DF,19,0.5,,,,,,,,,,,,,,,,,,,,,,
Erling Haaland,NOR,FW,24,34.1,681,26,42,222,421,216,676,33,13,39.4,17,51.5,326,1588,627,25,17,22,47,24,497,130
Joško Gvardiol,CRO,DF,23,33.1,2661,111,581,1292,807,87,2661,39,23,59,14,35.9,1699,8782,4803,78,94,12,21,16,1954,106
Bernardo Silva,POR,"MF,FW",30,30,1858,44,289,713,869,152,1858,64,28,43.8,29,45.3,1188,7638,3830,105,67,35,22,33,1405,220
Rico Lewis,ENG,"DF,MF",20,27.7,1670,50,271,858,554,64,1670,18,7,38.9,10,55.6,996,5205,2758,54,46,9,27,24,1215,90
Manuel Akanji,SUI,DF,29,27.6,2288,135,628,1190,473,19,2288,5,4,80,1,20,1515,8290,5091,54,78,1,7,5,1796,8
Phil Foden,ENG,"MF,FW",24,25,1408,18,97,490,833,102,1408,55,22,40,25,45.5,877,4536,2147,61,42,19,39,31,1115,172
Ederson,BRA,GK,31,25,894,633,882,12,0,0,894,0,0,,0,,574,2621,1581,0,0,0,1,0,568,0
İlkay Gündoğan,GER,MF,34,23.4,1762,38,237,843,700,66,1762,29,16,55.2,8,27.6,1073,6015,3008,54,64,7,24,19,1421,86
Sávio,BRA,"FW,MF",20,22.5,1103,11,57,252,812,150,1103,127,59,46.5,48,37.8,797,6476,3503,131,46,71,45,36,854,252
Mateo Kovačić,CRO,MF,30,22.2,1777,42,235,1024,538,17,1777,36,20,55.6,9,25,1205,7232,3422,53,65,2,21,27,1460,19
Matheus Nunes,POR,"MF,DF",26,19.1,1162,29,154,402,618,71,1161,43,22,51.2,15,34.9,743,4366,2373,70,42,29,27,19,864,190
Rúben Dias,POR,DF,27,19.1,1686,154,542,915,231,17,1686,1,0,0,1,100,1175,6522,3739,19,50,1,4,1,1372,6
Kevin De Bruyne,BEL,MF,33,15.9,1189,13,76,400,724,75,1189,29,11,37.9,15,51.7,706,3475,1893,49,47,19,22,28,901,141
Stefan Ortega,GER,GK,32,14,406,300,398,8,0,0,406,0,0,,0,,263,1174,640,0,0,0,0,0,254,0
Jack Grealish,ENG,"FW,MF",29,13.7,635,15,53,199,390,84,635,33,14,42.4,11,33.3,471,3684,2270,89,32,54,15,18,522,147
Jeremy Doku,BEL,FW,22,13.1,706,3,30,143,546,112,706,116,55,47.4,40,34.5,540,4797,3039,132,57,67,37,38,590,199
Kyle Walker,ENG,DF,34,12.9,1015,27,218,547,257,6,1015,8,5,62.5,2,25,578,2644,1290,13,15,0,9,4,726,13
John Stones,ENG,"DF,MF",30,12.5,837,54,207,465,169,12,837,3,2,66.7,1,33.3,575,3779,2090,20,28,0,3,0,664,5
Nathan Aké,NED,DF,29,10.2,741,61,243,389,110,6,741,1,1,100,0,0,509,2665,1634,12,16,1,3,3,573,3
James Mcatee,ENG,"MF,FW",22,6.9,123,0,13,53,58,16,123,9,3,33.3,6,66.7,75,458,247,8,2,2,0,3,92,22
