Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
Kevin De Bruyne,벨기에,MF,33,"£ 400,000 (€ 473,899, $488,501)","£ 20,800,000 (€ 24,642,740, $25,402,046)",
Erling Haaland,네덜란드,FW,24,"£ 375,000 (€ 444,280, $457,970)","£ 19,500,000 (€ 23,102,568, $23,814,418)",
Bernardo Silva,포르투갈,"MF,FW",29,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
Jack Grealish,잉글랜드,"FW,MF",28,"£ 300,000 (€ 355,424, $366,376)","£ 15,600,000 (€ 18,482,055, $19,051,534)",
John Stones,잉글랜드,"DF,MF",30,"£ 250,000 (€ 296,187, $305,313)","£ 13,000,000 (€ 15,401,712, $15,876,279)",
İlkay Gündoğan,독일,MF,33,"£ 230,000 (€ 272,492, $280,888)","£ 11,960,000 (€ 14,169,575, $14,606,176)",
Phil Foden,잉글랜드,"MF,FW",24,"£ 225,000 (€ 266,568, $274,782)","£ 11,700,000 (€ 13,861,541, $14,288,651)",
Rodri,스페인,MF,28,"£ 220,000 (€ 260,644, $268,675)","£ 11,440,000 (€ 13,553,507, $13,971,125)",
Joško Gvardiol,크로아티아,DF,22,"£ 200,000 (€ 236,949, $244,250)","£ 10,400,000 (€ 12,321,370, $12,701,023)",Unverified estimation
Rúben Dias,포르투갈,DF,27,"£ 180,000 (€ 213,254, $219,825)","£ 9,360,000 (€ 11,089,233, $11,430,921)",
Manuel Akanji,스위스,DF,29,"£ 180,000 (€ 213,254, $219,825)","£ 9,360,000 (€ 11,089,233, $11,430,921)",
Kyle Walker,잉글랜드,DF,34,"£ 175,000 (€ 207,331, $213,719)","£ 9,100,000 (€ 10,781,199, $11,113,395)",Unverified estimation
Nathan Aké,네덜란드,DF,29,"£ 160,000 (€ 189,560, $195,400)","£ 8,320,000 (€ 9,857,096, $10,160,818)",
Mateo Kovačić,크로아티아,MF,30,"£ 150,000 (€ 177,712, $183,188)","£ 7,800,000 (€ 9,241,027, $9,525,767)",Unverified estimation
Matheus Nunes,포르투갈,"MF,DF",25,"£ 130,000 (€ 154,017, $158,763)","£ 6,760,000 (€ 8,008,890, $8,255,665)",Unverified estimation
Ederson,브라질,GK,30,"£ 100,000 (€ 118,475, $122,125)","£ 5,200,000 (€ 6,160,685, $6,350,511)",
Stefan Ortega,독일,GK,31,"£ 90,000 (€ 106,627, $109,913)","£ 4,680,000 (€ 5,544,616, $5,715,460)",Unverified estimation
Oscar Bobb,노르웨이,RW,21,"£ 50,000 (€ 59,237, $61,063)","£ 2,600,000 (€ 3,080,342, $3,175,256)",
Jeremy Doku,벨기에,FW,22,"£ 50,000 (€ 59,237, $61,063)","£ 2,600,000 (€ 3,080,342, $3,175,256)",Unverified estimation
Sávio,브라질,"FW,MF",20,"£ 40,000 (€ 47,390, $48,850)","£ 2,080,000 (€ 2,464,274, $2,540,205)",Unverified estimation
Scott Carson,잉글랜드,GK,38,"£ 30,000 (€ 35,542, $36,638)","£ 1,560,000 (€ 1,848,205, $1,905,153)",Unverified estimation
Rico Lewis,잉글랜드,RB,20,"£ 25,000 (€ 29,619, $30,531)","£ 1,300,000 (€ 1,540,171, $1,587,628)",
Issa Kaboré,부르키나파소,"DF,MF",23,"£ 20,000 (€ 23,483, $26,182)","£ 1,040,000 (€ 1,221,130, $1,361,441)",Unverified estimation
James McAtee,잉글랜드,CM,22,"£ 15,000 (€ 17,771, $18,319)","£ 780,000 (€ 924,103, $952,577)",Unverified estimation
Josh Wilson-Esbrand,잉글랜드,LB,21,"£ 7,000 (€ 8,293, $8,549)","£ 364,000 (€ 431,248, $444,536)",Unverified estimation
Kalvin Phillips,잉글랜드,"DF,MF",28,NULL,NULL,
